"subject_age","subject_race","subject_sex","lng","lat","violation_type","prob"
36,"hispanic","male",-111.8596018,33.375083,"without_proper_documents_or_vehicle_defects",0.354
24,"hispanic","female",-111.8572849,33.400338,"distracted_driving",0
24,"hispanic","female",-111.8572849,33.400338,"leaving_scene_of_an_accident_informing",0
24,"hispanic","female",-111.8572849,33.400338,"reckless_driving",0.348
24,"hispanic","female",-111.8572849,33.400338,"running_red_light_or_without_headlight",0
24,"hispanic","female",-111.8572849,33.400338,"without_proper_documents_or_vehicle_defects",0.652
43,"white","female",-111.8401712,33.3899582,"distracted_driving",0.016
43,"white","female",-111.8401712,33.3899582,"leaving_scene_of_an_accident_informing",0.004
43,"white","female",-111.8401712,33.3899582,"reckless_driving",0.034
43,"white","female",-111.8401712,33.3899582,"running_red_light_or_without_headlight",0.32
43,"white","female",-111.8401712,33.3899582,"without_proper_documents_or_vehicle_defects",0.626
34,"white","male",-111.814187,33.39336,"distracted_driving",0.986
34,"white","male",-111.814187,33.39336,"leaving_scene_of_an_accident_informing",0
34,"white","male",-111.814187,33.39336,"reckless_driving",0.002
34,"white","male",-111.814187,33.39336,"running_red_light_or_without_headlight",0
34,"white","male",-111.814187,33.39336,"without_proper_documents_or_vehicle_defects",0.012
31,"hispanic","male",-111.8688239,33.3785729,"distracted_driving",0.008
31,"hispanic","male",-111.8688239,33.3785729,"leaving_scene_of_an_accident_informing",0
31,"hispanic","male",-111.8688239,33.3785729,"reckless_driving",0.13
31,"hispanic","male",-111.8688239,33.3785729,"running_red_light_or_without_headlight",0
31,"hispanic","male",-111.8688239,33.3785729,"without_proper_documents_or_vehicle_defects",0.862
48,"hispanic","male",-111.8421029,33.3917087,"distracted_driving",0.176
48,"hispanic","male",-111.8421029,33.3917087,"leaving_scene_of_an_accident_informing",0
48,"hispanic","male",-111.8421029,33.3917087,"reckless_driving",0.066
48,"hispanic","male",-111.8421029,33.3917087,"running_red_light_or_without_headlight",0
48,"hispanic","male",-111.8421029,33.3917087,"without_proper_documents_or_vehicle_defects",0.758
80,"white","male",-111.8508822,33.3788295,"distracted_driving",0.006
80,"white","male",-111.8508822,33.3788295,"leaving_scene_of_an_accident_informing",0
80,"white","male",-111.8508822,33.3788295,"reckless_driving",0.022
80,"white","male",-111.8508822,33.3788295,"running_red_light_or_without_headlight",0
80,"white","male",-111.8508822,33.3788295,"without_proper_documents_or_vehicle_defects",0.972
57,"asian/pacific islander","male",-111.8573563,33.3911853,"distracted_driving",1
57,"asian/pacific islander","male",-111.8573563,33.3911853,"leaving_scene_of_an_accident_informing",0
57,"asian/pacific islander","male",-111.8573563,33.3911853,"reckless_driving",0
57,"asian/pacific islander","male",-111.8573563,33.3911853,"running_red_light_or_without_headlight",0
57,"asian/pacific islander","male",-111.8573563,33.3911853,"without_proper_documents_or_vehicle_defects",0
44,"white","male",-111.8745865,33.3984233,"distracted_driving",0.04
44,"white","male",-111.8745865,33.3984233,"leaving_scene_of_an_accident_informing",0
44,"white","male",-111.8745865,33.3984233,"reckless_driving",0.246
44,"white","male",-111.8745865,33.3984233,"running_red_light_or_without_headlight",0
44,"white","male",-111.8745865,33.3984233,"without_proper_documents_or_vehicle_defects",0.714
27,"black","female",-111.8397105,33.4079178,"distracted_driving",0
27,"black","female",-111.8397105,33.4079178,"leaving_scene_of_an_accident_informing",0
27,"black","female",-111.8397105,33.4079178,"reckless_driving",0.084
27,"black","female",-111.8397105,33.4079178,"running_red_light_or_without_headlight",0.092
27,"black","female",-111.8397105,33.4079178,"without_proper_documents_or_vehicle_defects",0.824
45,"white","male",-111.8053748,33.400605,"distracted_driving",0.01
45,"white","male",-111.8053748,33.400605,"leaving_scene_of_an_accident_informing",0
45,"white","male",-111.8053748,33.400605,"reckless_driving",0.83
45,"white","male",-111.8053748,33.400605,"running_red_light_or_without_headlight",0
45,"white","male",-111.8053748,33.400605,"without_proper_documents_or_vehicle_defects",0.16
55,"black","female",-111.8637339,33.3931272,"distracted_driving",0
55,"black","female",-111.8637339,33.3931272,"leaving_scene_of_an_accident_informing",0
55,"black","female",-111.8637339,33.3931272,"reckless_driving",0.374
55,"black","female",-111.8637339,33.3931272,"running_red_light_or_without_headlight",0.002
55,"black","female",-111.8637339,33.3931272,"without_proper_documents_or_vehicle_defects",0.624
31,"white","female",-111.8641176,33.3787518,"distracted_driving",0.006
31,"white","female",-111.8641176,33.3787518,"leaving_scene_of_an_accident_informing",0.016
31,"white","female",-111.8641176,33.3787518,"reckless_driving",0.094
31,"white","female",-111.8641176,33.3787518,"running_red_light_or_without_headlight",0
31,"white","female",-111.8641176,33.3787518,"without_proper_documents_or_vehicle_defects",0.884
65,"white","male",-111.8421465,33.3788492,"distracted_driving",0.012
65,"white","male",-111.8421465,33.3788492,"leaving_scene_of_an_accident_informing",0
65,"white","male",-111.8421465,33.3788492,"reckless_driving",0.018
65,"white","male",-111.8421465,33.3788492,"running_red_light_or_without_headlight",0
65,"white","male",-111.8421465,33.3788492,"without_proper_documents_or_vehicle_defects",0.97
45,"hispanic","female",-111.8381018,33.3945825,"distracted_driving",0
45,"hispanic","female",-111.8381018,33.3945825,"leaving_scene_of_an_accident_informing",0
45,"hispanic","female",-111.8381018,33.3945825,"reckless_driving",0
45,"hispanic","female",-111.8381018,33.3945825,"running_red_light_or_without_headlight",0
45,"hispanic","female",-111.8381018,33.3945825,"without_proper_documents_or_vehicle_defects",1
40,"white","male",-111.8551095,33.3931936,"distracted_driving",0.926
40,"white","male",-111.8551095,33.3931936,"leaving_scene_of_an_accident_informing",0
40,"white","male",-111.8551095,33.3931936,"reckless_driving",0
40,"white","male",-111.8551095,33.3931936,"running_red_light_or_without_headlight",0
